Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2015-04-07,92.38628387451172,92.95563700317861,90.16653418426945,91.52865249706923,8201797
2015-04-08,92.94842529296875,93.53218510701677,91.3845051717043,92.81148954975406,9957941
2015-04-09,92.24935913085938,93.24391913050464,91.175519022168,93.24391913050464,4112808
2015-04-10,91.96827697753906,92.62411355633435,90.13049962292519,90.81516402552093,6573554
2015-04-13,95.39158630371094,95.70869234719218,91.52864378832776,91.8889987396805,10420149
2015-04-15,93.02769470214844,96.4438058638449,92.2781713509138,95.6798614273403,7813182
2015-04-16,92.35745239257812,94.4186489643771,91.24037063547043,92.99887505804065,7010657
2015-04-17,92.60971069335938,93.63309856037213,91.69442359116046,92.24936285286192,6112233
2015-04-20,92.50159454345703,93.37363982739375,91.09623450292098,92.60970247334603,8286932
2015-04-21,93.86370849609375,95.25465445349468,91.5286406343123,92.24934333751332,11180742
2015-04-22,95.16098022460938,95.8096063350909,93.04933829981742,94.53397139714184,9174702
2015-04-23,96.96270751953125,97.798714341906,95.14654759280639,95.87445367203632,9486964
2015-04-24,95.16818237304688,96.85461011152321,94.12317014434826,96.85461011152321,7851453
2015-04-27,94.26731872558594,96.21320425527647,92.27819145467275,95.41322845532184,6648955
2015-04-28,94.26010131835938,94.65648750470854,92.2565602795819,93.00609091420598,5830498
2015-04-29,97.65457916259766,98.44735145933795,94.25288891867939,94.54837051320727,7722104
2015-04-30,97.1789321899414,99.312198504178,96.67444523126025,97.7266608879381,13112048
2015-05-04,101.9931869506836,102.74271755857286,96.71768074445448,97.72665459686495,11619476
2015-05-05,103.12467193603516,104.50121116803939,101.22202855152257,102.33911739127544,9925470
2015-05-06,97.8203353881836,102.3391141815075,97.00594587293584,102.21659235723025,9298055
2015-05-07,93.64030456542969,97.29424225296029,91.31244686664974,97.01317453833207,6735975
2015-05-08,98.61309814453125,99.31217636160154,94.69971084699637,95.1681665058033,6537756
2015-05-11,101.92831420898438,102.33911423805968,99.25452309810674,99.74459604614833,6250194
2015-05-12,97.09964752197266,101.9427360894288,96.57353616987216,101.90669772368537,6854481
2015-05-13,104.0976333618164,105.21471522936898,98.15908673570726,98.15908673570726,38481851
2015-05-14,106.29576110839844,106.78583413826847,101.67608416956536,102.77154870512163,26280844
2015-05-15,106.47592163085938,107.28310783927115,104.93363311995923,106.37503142631125,15502215
2015-05-18,111.614501953125,112.28475243471415,105.9570236724766,105.9570236724766,17281278
2015-05-19,110.99469757080078,112.78924024010077,110.05058281938673,110.84335509366477,13493245
2015-05-20,112.49376678466797,113.22167297158802,111.27578756040366,111.70820494629565,14434024
2015-05-21,112.49376678466797,113.14960340727269,111.131648431773,112.81087286765543,9851602
2015-05-22,114.55496978759766,115.23963427351524,112.4289067615731,113.27933484185125,13381322
2015-05-25,113.33697509765625,115.09547949923557,112.6451001615794,113.87028983040749,11963825
2015-05-26,114.37477111816406,115.88103557836466,113.14958868422443,113.84145641162563,17826044
2015-05-27,113.9423599243164,114.44684683604633,112.58744504385761,112.60185895562132,11121457
2015-05-28,105.87053680419922,114.0144253544714,103.11747258235367,113.72614712963623,38326555
2015-05-29,101.80580139160156,105.79846922969436,97.82034409659948,105.79846922969436,52597892
2015-06-01,91.2475814819336,104.0255538560897,90.41877795943269,102.19497986809672,71545880
2015-06-02,91.81693267822266,94.18802472635939,89.5827692031013,91.96107179438083,112566102
2015-06-03,56.23855972290039,293.77281526161966,54.496316602013515,293.77281526161966,89673759
2015-06-04,59.72304153442383,61.15782481601366,56.00796525275435,57.39151063033689,27138057
2015-06-05,59.056884765625,62.028948508241186,57.570856481651596,59.95362875474793,18109318
2015-06-08,51.11431884765625,60.158608095780565,50.499410120956824,59.77428969317651,27980663
2015-06-09,51.37052917480469,53.24087966362509,50.11509099109554,51.5754987473967,24868857
2015-06-10,51.54986572265625,52.98465597644071,51.24241323065556,51.4986242385452,9294001
2015-06-11,50.166324615478516,52.3697480719226,49.44893301764478,52.11353704322017,10489218
2015-06-12,48.14225387573242,49.730768840248665,47.7066940152686,49.70514809402549,9493008
2015-06-15,51.47300720214844,53.573944075296566,47.14302256168283,48.14224951045684,23764327
2015-06-16,49.602664947509766,51.62674349961384,48.06539495660624,51.47301542432293,11264023
2015-06-17,50.85810089111328,51.93419012034896,49.29520674371435,50.166326425127295,13221475
2015-06-18,51.06306838989258,51.9085672923166,50.268810975534336,51.319279417556146,7826482
2015-06-19,49.65390396118164,51.67797867852945,49.320827103322216,51.06307003986688,6430158
2015-06-22,50.14071273803711,50.90934954740191,49.448941762009966,49.93574316136218,5395954
2015-06-23,51.42177200317383,51.959814865545596,49.93573997655544,50.21757178125803,8146500
2015-06-24,49.782012939453125,51.677984132596926,49.5001811289056,51.26804499689045,5616487
2015-06-25,48.42408752441406,48.93650960519358,47.16864589310113,48.42408752441406,14788371
2015-06-26,48.347225189208984,49.80763288832806,48.039772636026846,48.526574006621516,8700138
2015-06-29,46.80995559692383,47.60421317481433,46.220667600832954,47.60421317481433,5251014
2015-06-30,46.553741455078125,48.1166357587733,45.99007424536272,46.502499959831766,10729342
2015-07-01,46.963680267333984,47.65545479772225,46.65622412330917,46.78433144787537,8195635
2015-07-02,46.784324645996094,47.655447869192116,46.32314408434412,47.399233257310264,9383950
2015-07-03,46.63060760498047,47.834804368176705,46.374396519946394,46.93806377688972,8627185
2015-07-06,46.50250244140625,46.93806234891397,45.93883520161112,46.11818403187936,8015491
2015-07-07,47.16864013671875,47.91165600924093,46.1437925128956,46.835563313725835,8715245
2015-07-08,45.83634567260742,46.86119709037318,45.70824193588803,46.78433126100644,8641503
2015-07-09,45.580135345458984,46.52812094911611,45.29830353280506,46.11818181034576,6958615
2015-07-10,45.91321563720703,46.32315480630099,45.247061796927774,45.810729051265824,9393005
2015-07-13,46.45125198364258,46.733087364611364,45.60575301540607,46.11817869795436,7490181
2015-07-14,45.81072998046875,47.219896351229025,45.47765664090865,46.68184983562893,7973389
2015-07-15,45.65699768066406,46.2206648944421,45.40078661525047,45.861967250461966,6202960
2015-07-16,45.60575485229492,46.47687818898026,45.01646690793002,45.99007323285182,6807914
2015-07-17,45.40078353881836,45.99007146047312,45.19581398290953,45.8619641427795,3031881
2015-07-20,45.067718505859375,45.65700294809562,44.78588307278752,45.580140695804516,3264000
2015-07-21,43.40232467651367,45.170188246153344,43.12049291352816,45.09332601643035,5711592
2015-07-22,43.479190826416016,43.735405456595934,42.941147995174866,43.22297978357095,3952747
2015-07-23,43.325462341308594,43.78664289319281,42.68492941250497,43.78664289319281,3068660
2015-07-24,43.73540496826172,44.70901122500385,43.2229793009583,43.29984153675314,5275442
2015-07-27,41.531986236572266,43.58168196908183,41.35263741156078,43.55606122084236,6322345
2015-07-28,41.17327880859375,41.890670350936155,40.89144347022028,41.81380812447123,4621143
